Name,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26
Skuntank,Start - Flamethrower,Start - Scratch,Start - Focus Energy,Start - Poison Gas,Start - Screech,L3 - Poison Gas,L7 - Screech,L9 - Fury Swipes,L13 - Smokescreen,L15 - Feint,L19 - Acid Spray,L21 - Bite,L25 - Slash,L27 - Toxic,L31 - Night Slash,L33 - Memento,L37 - Venom Drench,L39 - Sucker Punch,L43 - Belch,L45 - Explosion,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt
Bronzor,Start - Tackle,Start - Confusion,L5 - Hypnosis,L9 - Imprison,L11 - Confuse Ray,L15 - Psywave,L19 - Iron Defense,L21 - Feint Attack,L25 - Safeguard,L29 - Future Sight,L31 - Metal Sound,L35 - Gyro Ball,L39 - Extrasensory,L41 - Payback,L45 - Heal Block,L49 - Heavy Slam,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration
Bronzong,Start - Block,Start - Sunny Day,Start - Rain Dance,Start - Tackle,Start - Confusion,Start - Hypnosis,Start - Imprison,L5 - Hypnosis,L9 - Imprison,L11 - Confuse Ray,L15 - Psywave,L19 - Iron Defense,L21 - Feint Attack,L25 - Safeguard,L29 - Future Sight,L31 - Metal Sound,L36 - Gyro Ball,L42 - Extrasensory,L46 - Payback,L52 - Heal Block,L58 - Heavy Slam,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day
Bonsly,Start - Fake Tears,Start - Copycat,L5 - Flail,L8 - Low Kick,L12 - Rock Throw,L15 - Mimic,L19 - Feint Attack,L22 - Tearful Look,L26 - Rock Tomb,L29 - Block,L33 - Rock Slide,L36 - Counter,L40 - Sucker Punch,L43 - Double-Edge,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM23 - Smack Down,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM37 - Sandstorm,TM39 - Rock Tomb
Mime Jr.,Start - Tickle,Start - Barrier,Start - Confusion,L4 - Copycat,L8 - Meditate,L11 - Double Slap,L15 - Mimic,L18 - Encore,L22 - Light Screen,L22 - Reflect,L25 - Psybeam,L29 - Substitute,L32 - Recycle,L36 - Trick,L39 - Psychic,L43 - Role Play,L46 - Baton Pass,L50 - Safeguard,TM03 - Psyshock,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM16 - Light Screen,TM17 - Protect
Happiny,Start - Pound,Start - Charm,L5 - Copycat,L9 - Refresh,L12 - Sweet Kiss,TM01 - Work Up,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round
Chatot,Start - Hyper Voice,Start - Chatter,Start - Confide,Start - Taunt,Start - Peck,L5 - Growl,L9 - Mirror Move,L13 - Sing,L17 - Fury Attack,L21 - Chatter,L25 - Taunt,L29 - Round,L33 - Mimic,L37 - Echoed Voice,L41 - Roost,L45 - Uproar,L49 - Synchronoise,L50 - Feather Dance,L57 - Hyper Voice,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance
Spiritomb,Start - Curse,Start - Pursuit,Start - Confuse Ray,Start - Spite,Start - Shadow Sneak,L7 - Feint Attack,L13 - Hypnosis,L19 - Dream Eater,L25 - Ominous Wind,L31 - Sucker Punch,L37 - Nasty Plot,L43 - Memento,L49 - Dark Pulse,TM04 - Calm Mind,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM32 - Double Team
Gible,Start - Tackle,L3 - Sand Attack,L7 - Dragon Rage,L13 - Sandstorm,L15 - Take Down,L19 - Sand Tomb,L25 - Slash,L27 - Dragon Claw,L31 - Dig,L37 - Dragon Rush,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM35 - Flamethrower,TM37 - Sandstorm,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace
Gabite,Start - Dual Chop,Start - Tackle,Start - Sand Attack,Start - Dragon Rage,L3 - Sand Attack,L7 - Dragon Rage,L13 - Sandstorm,L15 - Take Down,L19 - Sand Tomb,L28 - Slash,L33 - Dragon Claw,L40 - Dig,L49 - Dragon Rush,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM35 - Flamethrower,TM37 - Sandstorm
Garchomp,Start - Crunch,Start - Dual Chop,Start - Fire Fang,Start - Tackle,Start - Sand Attack,Start - Dragon Rage,Start - Sandstorm,L3 - Sand Attack,L7 - Dragon Rage,L13 - Sandstorm,L15 - Take Down,L19 - Sand Tomb,L28 - Slash,L33 - Dragon Claw,L40 - Dig,L55 - Dragon Rush,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake
Garchomp,Start - Crunch,Start - Dual Chop,Start - Fire Fang,Start - Tackle,Start - Sand Attack,Start - Dragon Rage,Start - Sandstorm,L3 - Sand Attack,L7 - Dragon Rage,L13 - Sandstorm,L15 - Take Down,L19 - Sand Tomb,L28 - Slash,L33 - Dragon Claw,L40 - Dig,L55 - Dragon Rush,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake
Munchlax,Start - Last Resort,Start - Recycle,Start - Lick,Start - Metronome,Start - Odor Sleuth,Start - Tackle,L4 - Defense Curl,L9 - Amnesia,L12 - Lick,L17 - Chip Away,L20 - Screech,L25 - Body Slam,L28 - Stockpile,L33 - Swallow,L36 - Rollout,L41 - Fling,L44 - Belly Drum,L49 - Natural Gift,L50 - Snatch,L57 - Last Resort,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard
Riolu,Start - Foresight,Start - Quick Attack,Start - Endure,L6 - Counter,L11 - Feint,L15 - Force Palm,L19 - Copycat,L24 - Screech,L29 - Reversal,L47 - Nasty Plot,L50 - Final Gambit,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM39 - Rock Tomb,TM42 - Facade
Lucario,Start - Aura Sphere,Start - Laser Focus,Start - Foresight,Start - Quick Attack,Start - Detect,Start - Metal Claw,L6 - Counter,L11 - Feint,L15 - Power-Up Punch,L19 - Swords Dance,L24 - Metal Sound,L29 - Bone Rush,L33 - Quick Guard,L37 - Me First,L42 - Work Up,L47 - Calm Mind,L51 - Heal Pulse,L55 - Close Combat,L60 - Dragon Pulse,L65 - Extreme Speed,TM01 - Work Up,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power
Lucario,Start - Aura Sphere,Start - Laser Focus,Start - Foresight,Start - Quick Attack,Start - Detect,Start - Metal Claw,L6 - Counter,L11 - Feint,L15 - Power-Up Punch,L19 - Swords Dance,L24 - Metal Sound,L29 - Bone Rush,L33 - Quick Guard,L37 - Me First,L42 - Work Up,L47 - Calm Mind,L51 - Heal Pulse,L55 - Close Combat,L60 - Dragon Pulse,L65 - Extreme Speed,TM01 - Work Up,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM08 - Bulk Up,TM10 - Hidden Power
Hippopotas,Start - Tackle,Start - Sand Attack,L7 - Bite,L13 - Yawn,L19 - Take Down,L19 - Dig,L25 - Sand Tomb,L31 - Crunch,L37 - Earthquake,L44 - Double-Edge,L50 - Fissure,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM37 - Sandstorm,TM39 - Rock Tomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round
Hippowdon,Start - Ice Fang,Start - Fire Fang,Start - Thunder Fang,Start - Tackle,Start - Sand Attack,Start - Bite,Start - Yawn,L7 - Bite,L13 - Yawn,L19 - Take Down,L19 - Dig,L25 - Sand Tomb,L31 - Crunch,L40 - Earthquake,L50 - Double-Edge,L60 - Fissure,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM32 - Double Team
Skorupi,Start - Bite,Start - Poison Sting,Start - Leer,L5 - Knock Off,L9 - Pin Missile,L13 - Acupressure,L16 - Pursuit,L20 - Bug Bite,L23 - Poison Fang,L27 - Venoshock,L30 - Hone Claws,L34 - Toxic Spikes,L38 - Night Slash,L41 - Scary Face,L45 - Crunch,L47 - Fell Stinger,L49 - Cross Poison,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return
Drapion,Start - Thunder Fang,Start - Ice Fang,Start - Fire Fang,Start - Bite,Start - Poison Sting,Start - Leer,Start - Knock Off,L5 - Knock Off,L9 - Pin Missile,L13 - Acupressure,L16 - Pursuit,L20 - Bug Bite,L23 - Poison Fang,L27 - Venoshock,L30 - Hone Claws,L34 - Toxic Spikes,L38 - Night Slash,L43 - Scary Face,L49 - Crunch,L53 - Fell Stinger,L57 - Cross Poison,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day
Croagunk,Start - Astonish,L3 - Mud-Slap,L8 - Poison Sting,L10 - Taunt,L15 - Pursuit,L17 - Feint Attack,L22 - Revenge,L24 - Swagger,L29 - Mud Bomb,L31 - Sucker Punch,L36 - Venoshock,L38 - Nasty Plot,L43 - Poison Jab,L45 - Sludge Bomb,L47 - Belch,L50 - Flatter,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration
Toxicroak,Start - Astonish,Start - Mud-Slap,Start - Poison Sting,L3 - Mud-Slap,L8 - Poison Sting,L10 - Taunt,L15 - Pursuit,L17 - Feint Attack,L22 - Revenge,L24 - Swagger,L29 - Mud Bomb,L31 - Sucker Punch,L36 - Venoshock,L41 - Nasty Plot,L49 - Poison Jab,L54 - Sludge Bomb,L58 - Belch,L62 - Flatter,TM01 - Work Up,TM06 - Toxic,TM08 - Bulk Up,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam
Carnivine,Start - Bind,Start - Growth,L7 - Bite,L11 - Vine Whip,L17 - Sweet Scent,L21 - Ingrain,L27 - Feint Attack,L31 - Leaf Tornado,L37 - Stockpile,L37 - Spit Up,L37 - Swallow,L41 - Crunch,L47 - Wring Out,L50 - Power Whip,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM32 - Double Team,TM36 - Sludge Bomb,TM42 - Facade,TM44 - Rest
Finneon,Start - Pound,L6 - Water Gun,L10 - Attract,L13 - Rain Dance,L17 - Gust,L22 - Water Pulse,L26 - Captivate,L29 - Safeguard,L33 - Aqua Ring,L38 - Whirlpool,L42 - U-turn,L45 - Bounce,L49 - Silver Wind,L54 - Soak,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM27 - Return,TM32 - Double Team,TM42 - Facade
Lumineon,Start - Soak,Start - Gust,Start - Pound,Start - Water Gun,Start - Attract,L6 - Water Gun,L10 - Attract,L13 - Rain Dance,L17 - Gust,L22 - Water Pulse,L26 - Captivate,L29 - Safeguard,L35 - Aqua Ring,L42 - Whirlpool,L48 - U-turn,L53 - Bounce,L59 - Silver Wind,L66 - Soak,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance
Mantyke,Start - Tackle,Start - Bubble,L3 - Supersonic,L7 - Bubble Beam,L11 - Confuse Ray,L14 - Wing Attack,L16 - Headbutt,L19 - Water Pulse,L23 - Wide Guard,L27 - Take Down,L32 - Agility,L36 - Air Slash,L39 - Aqua Ring,L46 - Bounce,L49 - Hydro Pump,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM26 - Earthquake,TM27 - Return,TM32 - Double Team
Snover,Start - Powder Snow,Start - Leer,L5 - Razor Leaf,L9 - Icy Wind,L13 - Grass Whistle,L17 - Swagger,L21 - Mist,L26 - Ice Shard,L31 - Ingrain,L36 - Wood Hammer,L41 - Blizzard,L46 - Sheer Cold,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM30 - Shadow Ball,TM32 - Double Team
Abomasnow,Start - Ice Punch,Start - Powder Snow,Start - Leer,Start - Razor Leaf,Start - Icy Wind,L5 - Razor Leaf,L9 - Icy Wind,L13 - Grass Whistle,L17 - Swagger,L21 - Mist,L26 - Ice Shard,L31 - Ingrain,L36 - Wood Hammer,L47 - Blizzard,L58 - Sheer Cold,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration
Abomasnow,Start - Ice Punch,Start - Powder Snow,Start - Leer,Start - Razor Leaf,Start - Icy Wind,L5 - Razor Leaf,L9 - Icy Wind,L13 - Grass Whistle,L17 - Swagger,L21 - Mist,L26 - Ice Shard,L31 - Ingrain,L36 - Wood Hammer,L47 - Blizzard,L58 - Sheer Cold,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM20 - Safeguard,TM21 - Frustration
Weavile,Start - Embargo,Start - Revenge,Start - Assurance,Start - Scratch,Start - Leer,Start - Taunt,Start - Quick Attack,L8 - Quick Attack,L10 - Feint Attack,L14 - Icy Wind,L16 - Fury Swipes,L20 - Nasty Plot,L22 - Metal Claw,L25 - Hone Claws,L28 - Fling,L32 - Screech,L35 - Night Slash,L40 - Snatch,L44 - Punishment,L47 - Dark Pulse,TM04 - Calm Mind,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt
Magnezone,Start - Tri Attack,Start - Zap Cannon,Start - Magnetic Flux,Start - Mirror Coat,Start - Barrier,Start - Electric Terrain,Start - Tackle,Start - Supersonic,Start - Thunder Shock,Start - Magnet Bomb,L5 - Thunder Shock,L7 - Magnet Bomb,L11 - Thunder Wave,L13 - Light Screen,L17 - Sonic Boom,L19 - Spark,L23 - Mirror Shot,L25 - Metal Sound,L29 - Electro Ball,L33 - Flash Cannon,L39 - Screech,L43 - Discharge,L49 - Lock-On,L53 - Magnet Rise,L59 - Gyro Ball,L63 - Zap Cannon
Lickilicky,Start - Wring Out,Start - Power Whip,Start - Lick,L5 - Supersonic,L9 - Defense Curl,L13 - Knock Off,L17 - Wrap,L21 - Stomp,L25 - Disable,L29 - Slam,L33 - Rollout,L37 - Chip Away,L41 - Me First,L45 - Refresh,L49 - Screech,L53 - Power Whip,L57 - Wring Out,L61 - Gyro Ball,TM01 - Work Up,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect
Rhyperior,Start - Hammer Arm,Start - Rock Wrecker,Start - Horn Drill,Start - Poison Jab,Start - Horn Attack,Start - Tail Whip,Start - Fury Attack,Start - Scary Face,L5 - Fury Attack,L9 - Scary Face,L13 - Smack Down,L17 - Stomp,L21 - Bulldoze,L25 - Chip Away,L29 - Rock Blast,L33 - Drill Run,L37 - Take Down,L41 - Stone Edge,L48 - Earthquake,L55 - Megahorn,L62 - Horn Drill,L69 - Rock Wrecker,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day
Tangrowth,Start - Block,Start - Ingrain,Start - Constrict,L4 - Sleep Powder,L7 - Vine Whip,L10 - Absorb,L14 - Poison Powder,L17 - Bind,L20 - Growth,L23 - Mega Drain,L27 - Knock Off,L30 - Stun Spore,L33 - Natural Gift,L36 - Giga Drain,L40 - Ancient Power,L43 - Slam,L46 - Tickle,L49 - Wring Out,L50 - Grassy Terrain,L53 - Power Whip,L56 - Block,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect
Electivire,Start - Electric Terrain,Start - Ion Deluge,Start - Fire Punch,Start - Quick Attack,Start - Leer,Start - Thunder Shock,Start - Low Kick,L5 - Thunder Shock,L8 - Low Kick,L12 - Swift,L15 - Shock Wave,L19 - Thunder Wave,L22 - Electro Ball,L26 - Light Screen,L29 - Thunder Punch,L36 - Discharge,L42 - Screech,L49 - Thunderbolt,L55 - Thunder,L62 - Giga Impact,L65 - Electric Terrain,TM06 - Toxic,TM10 - Hidden Power,TM12 - Taunt,TM15 - Hyper Beam,TM16 - Light Screen
Magmortar,Start - Thunder Punch,Start - Smog,Start - Leer,Start - Ember,Start - Smokescreen,L5 - Ember,L8 - Smokescreen,L12 - Feint Attack,L15 - Fire Spin,L19 - Clear Smog,L22 - Flame Burst,L26 - Confuse Ray,L29 - Fire Punch,L36 - Lava Plume,L42 - Sunny Day,L49 - Flamethrower,L55 - Fire Blast,L62 - Hyper Beam,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM15 - Hyper Beam,TM17 - Protect,TM21 - Frustration,TM22 - Solar Beam
Togekiss,Start - After You,Start - Sky Attack,Start - Extreme Speed,Start - Aura Sphere,Start - Air Slash,TM01 - Work Up,TM03 - Psyshock,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM19 - Roost,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM29 - Psychic,TM30 - Shadow Ball,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM35 - Flamethrower,TM38 - Fire Blast
Yanmega,Start - Bug Buzz,Start - Air Slash,Start - Night Slash,Start - Bug Bite,Start - Tackle,Start - Foresight,Start - Quick Attack,Start - Double Team,L6 - Quick Attack,L11 - Double Team,L14 - Sonic Boom,L17 - Detect,L22 - Supersonic,L27 - Uproar,L30 - Pursuit,L33 - Ancient Power,L38 - Feint,L43 - Slash,L46 - Screech,L49 - U-turn,L54 - Air Slash,L57 - Bug Buzz,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam
Leafeon,Start - Razor Leaf,Start - Helping Hand,Start - Tackle,Start - Tail Whip,L5 - Sand Attack,L9 - Baby-Doll Eyes,L13 - Quick Attack,L17 - Grass Whistle,L20 - Magical Leaf,L25 - Giga Drain,L29 - Swords Dance,L33 - Synthesis,L37 - Sunny Day,L41 - Last Resort,L45 - Leaf Blade,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return
Glaceon,Start - Icy Wind,Start - Helping Hand,Start - Tackle,Start - Tail Whip,L5 - Sand Attack,L9 - Baby-Doll Eyes,L13 - Quick Attack,L17 - Bite,L20 - Ice Fang,L25 - Ice Shard,L29 - Barrier,L33 - Mirror Coat,L37 - Hail,L41 - Last Resort,L45 - Blizzard,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM17 - Protect,TM18 - Rain Dance
Gliscor,Start - Guillotine,Start - Thunder Fang,Start - Ice Fang,Start - Fire Fang,Start - Poison Jab,Start - Sand Attack,Start - Harden,Start - Knock Off,L4 - Sand Attack,L7 - Harden,L10 - Knock Off,L13 - Quick Attack,L16 - Fury Cutter,L19 - Feint Attack,L22 - Acrobatics,L27 - Night Slash,L30 - U-turn,L35 - Screech,L40 - X-Scissor,L45 - Sky Uppercut,L50 - Swords Dance,L55 - Guillotine,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day
Mamoswine,Start - Fury Attack,Start - Scary Face,Start - Ancient Power,Start - Peck,Start - Odor Sleuth,Start - Mud Sport,Start - Powder Snow,L5 - Mud Sport,L8 - Powder Snow,L11 - Mud-Slap,L14 - Endure,L18 - Mud Bomb,L21 - Hail,L24 - Ice Fang,L28 - Take Down,L33 - Double Hit,L37 - Mist,L41 - Thrash,L46 - Earthquake,L52 - Blizzard,L58 - Scary Face,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam
Porygon-Z,Start - Trick Room,Start - Zap Cannon,Start - Magic Coat,Start - Conversion 2,Start - Tackle,Start - Conversion,Start - Nasty Plot,L7 - Psybeam,L12 - Agility,L18 - Recover,L23 - Magnet Rise,L29 - Signal Beam,L34 - Embargo,L40 - Discharge,L45 - Lock-On,L50 - Tri Attack,L56 - Magic Coat,L62 - Zap Cannon,L67 - Hyper Beam,TM03 - Psyshock,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam
Gallade,Start - Slash,Start - Stored Power,Start - Close Combat,Start - Leaf Blade,Start - Night Slash,Start - Leer,Start - Confusion,Start - Double Team,Start - Teleport,L4 - Confusion,L6 - Double Team,L9 - Teleport,L11 - Quick Guard,L14 - Fury Cutter,L17 - Aerial Ace,L19 - Heal Pulse,L23 - Wide Guard,L26 - Swords Dance,L31 - Psycho Cut,L35 - Helping Hand,L40 - Feint,L44 - False Swipe,L49 - Protect,L53 - Close Combat,L58 - Stored Power,TM01 - Work Up
Gallade,Start - Slash,Start - Stored Power,Start - Close Combat,Start - Leaf Blade,Start - Night Slash,Start - Leer,Start - Confusion,Start - Double Team,Start - Teleport,L4 - Confusion,L6 - Double Team,L9 - Teleport,L11 - Quick Guard,L14 - Fury Cutter,L17 - Aerial Ace,L19 - Heal Pulse,L23 - Wide Guard,L26 - Swords Dance,L31 - Psycho Cut,L35 - Helping Hand,L40 - Feint,L44 - False Swipe,L49 - Protect,L53 - Close Combat,L58 - Stored Power,TM01 - Work Up
Probopass,Start - Tri Attack,Start - Magnetic Flux,Start - Magnet Rise,Start - Gravity,Start - Wide Guard,Start - Tackle,Start - Iron Defense,Start - Block,Start - Magnet Bomb,L4 - Iron Defense,L7 - Block,L10 - Magnet Bomb,L13 - Thunder Wave,L16 - Rest,L19 - Spark,L22 - Rock Slide,L25 - Power Gem,L28 - Rock Blast,L31 - Discharge,L34 - Sandstorm,L37 - Earth Power,L40 - Stone Edge,L43 - Lock-On,L43 - Zap Cannon,TM06 - Toxic,TM10 - Hidden Power
Dusknoir,Start - Shadow Punch,Start - Future Sight,Start - Fire Punch,Start - Ice Punch,Start - Thunder Punch,Start - Gravity,Start - Bind,Start - Leer,Start - Night Shade,Start - Disable,Start - Astonish,L6 - Disable,L9 - Astonish,L14 - Foresight,L17 - Shadow Sneak,L22 - Pursuit,L25 - Will-O-Wisp,L30 - Confuse Ray,L33 - Curse,L40 - Hex,L45 - Shadow Ball,L52 - Mean Look,L57 - Payback,L64 - Future Sight,TM04 - Calm Mind,TM06 - Toxic
Froslass,Start - Ominous Wind,Start - Destiny Bond,Start - Powder Snow,Start - Leer,Start - Double Team,Start - Ice Shard,L5 - Double Team,L10 - Ice Shard,L14 - Icy Wind,L19 - Astonish,L23 - Draining Kiss,L28 - Will-O-Wisp,L32 - Confuse Ray,L37 - Wake-Up Slap,L41 - Captivate,L42 - Shadow Ball,L48 - Blizzard,L54 - Hail,L61 - Destiny Bond,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam
Rotom,Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return
Rotom,Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return
Rotom,Start - Discharge,Start - Charge,Start - Trick,Start - Astonish,Start - Thunder Wave,Start - Thunder Shock,Start - Confuse Ray,L8 - Uproar,L15 - Double Team,L22 - Shock Wave,L29 - Ominous Wind,L36 - Substitute,L43 - Electro Ball,L50 - Hex,L57 - Charge,L64 - Discharge,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM24 - Thunderbolt,TM25 - Thunder,TM27 - Return
